OID_,VehicleMeters_EngineSeconds,SpinnerDialSetting,OBDIIMessages,Temperatures_RoadTemp,VDTMessages,LiquidSetting,ReportTime,UnloadFunction,LiquidRateIndex,PrewetRateIndex,UnitsOfMeasure,SpeedMetersPerSecond,SpreaderStatus,Location_Longitude,LiquidMode,PositionId,GranularMode,GranularSetting,objectid_1,globalid,ControllerDistance,GranularTotal,InputStatuses,PrewetMode,LiquidTotal,VehicleMeters_IdleSeconds,IgnitionStatusOn,GateSetting,CANMessages,PrewetTotal,SpreaderInfo,GranularRateIndex,HeadingDegrees,VehicleId,Location_Latitude,VehicleMeters_OdometerMeters,PrewetMaterial,ErrorStatus,DriverId,GranularMaterial,Temperatures_AirTemp,PrewetSetting
7445,1006729.000000000000000,2.000000000000000,,27.000000000000000,,,1612493995000,,,,E,11.000000000000000,S,-88.121279999999999,,,C,250,332573,{BEB0A577-E4FD-E34C-6F13-FE3D999C5508},,,,,,585095.000000000000000,true,,,,,4,174.000000000000000,99,41.880679999999998,5584574.000000000000000,,,,SALT,26.000000000000000,0
7446,995123.000000000000000,3.000000000000000,,26.000000000000000,,,1612493998000,,,,E,14.000000000000000,S,-88.150430000000000,,,C,350,332618,{C6398902-D18D-41D5-B8C8-82809A15DDB2},,,,,,444065.000000000000000,true,,,,,6,180.000000000000000,H61,41.909880000000001,6257547.000000000000000,,,,SALT,24.000000000000000,0
7447,1424783.000000000000000,0.000000000000000,,28.000000000000000,,,1612493999000,,,,E,0.000000000000000,O,-88.146619999999999,,,M,0,332612,{4DE0C40E-514E-8B3E-B735-022D3D68515D},,,,,,714783.000000000000000,true,,,,,0,230.000000000000000,JHJW4376,41.866030000000002,8482531.000000000000000,,,,SALT,27.000000000000000,0
7448,1424783.000000000000000,0.000000000000000,,28.000000000000000,,,1612493999000,,,,E,0.000000000000000,O,-88.146619999999999,,,M,0,332652,{4DD268A7-984C-26D3-04C4-952D856F1085},,,,,,714783.000000000000000,true,,,,,0,230.000000000000000,JHJW4376,41.866030000000002,8482531.000000000000000,,,,SALT,27.000000000000000,0
7449,1424783.000000000000000,0.000000000000000,,28.000000000000000,,,1612493999000,,,,E,0.000000000000000,O,-88.146619999999999,,,M,0,332700,{9EFBD56F-4BA7-3E8C-98DF-A807D7098F4C},,,,,,714783.000000000000000,true,,,,,0,230.000000000000000,JHJW4376,41.866030000000002,8482531.000000000000000,,,,SALT,27.000000000000000,0
7450,1510468.000000000000000,0.000000000000000,,0.000000000000000,,,1612493999000,,,0,E,10.000000000000000,O,-88.072370000000006,,,C,0,332630,{172899C0-CE60-64C5-D1F4-B3D99CEA2F90},,,,C,,580227.000000000000000,true,,,,1,0,346.000000000000000,H_60,41.779949999999999,6749704.000000000000000,PWT1,0,,SALT,0.000000000000000,0
7451,951022.000000000000000,5.000000000000000,,26.000000000000000,,,1612494000000,,,,E,13.000000000000000,S,-88.151629999999997,,,C,150,332631,{21406B24-438A-8CB4-37E2-92BEBAFD52DE},,,,,,393448.000000000000000,true,,,,,2,168.000000000000000,H6200000,41.958030000000001,6605802.000000000000000,,,,SALT,24.000000000000000,
7452,1248388.000000000000000,4.000000000000000,,28.000000000000000,,0,1612494003000,,0,0,E,12.000000000000000,S,-88.165949999999995,C,,C,300,332635,{F23BF0B0-3D92-7CEB-D9BC-08EAF720953F},,,,C,,691228.000000000000000,true,,,,1,5,270.000000000000000,LL450322,41.810920000000003,3208391.000000000000000,PWT1,0,,SALT,24.000000000000000,0
7453,959092.000000000000000,0.000000000000000,,27.000000000000000,,,1612494015000,,,,E,3.000000000000000,O,-88.120949999999993,,,C,0,332655,{C96A4A93-7003-F2DC-DA2B-24508949CEA1},,,,,,397477.000000000000000,true,,,,,0,252.000000000000000,H78,41.879049999999999,5989026.000000000000000,,,,SALT,27.000000000000000,0
7454,951042.000000000000000,5.000000000000000,,26.000000000000000,,,1612494020000,,,,E,13.000000000000000,S,-88.150350000000003,,,C,150,332665,{A4198185-8F05-F5D4-DAAB-2F59DD26FDB1},,,,,,393448.000000000000000,true,,,,,2,156.000000000000000,H6200000,41.955629999999999,6606089.000000000000000,,,,SALT,24.000000000000000,
7455,1006755.000000000000000,2.000000000000000,,27.000000000000000,,,1612494021000,,,,E,4.000000000000000,S,-88.121020000000001,,,C,250,332653,{FECEEA92-FE5F-3E3A-6497-00B753E9AACD},,,,,,585095.000000000000000,true,,,,,4,256.000000000000000,99,41.879030000000000,5584803.000000000000000,,,,SALT,26.000000000000000,0
7456,212917.000000000000000,0.000000000000000,,28.000000000000000,,,1612494022000,,,,E,13.000000000000000,O,-88.077579999999998,,,C,0,332661,{3781F251-3E71-73B1-0294-F647E2616465},,,,,,127697.000000000000000,true,,,,,0,356.000000000000000,H 66,41.802450000000000,991759.000000000000000,,,,SALT,29.000000000000000,0
7457,686795.000000000000000,5.000000000000000,,27.000000000000000,,,1612494022000,,,,E,13.000000000000000,S,-88.150369999999995,,,C,250,332646,{C00AB455-3DC6-6951-4A9D-9D498E915E61},,,,,,348338.000000000000000,true,,,,,4,154.000000000000000,JHJW4378,41.955629999999999,4238359.000000000000000,,,,SALT,24.000000000000000,0
7458,5046292.000000000000000,0.000000000000000,,24.000000000000000,,0,1612494023000,,0,,E,3.000000000000000,O,-88.166849999999997,C,,C,0,332600,{F196FE6F-DC50-DFED-B389-1EEC7B4A82B3},,,,,,2782688.000000000000000,true,,,,1,0,268.000000000000000,TRUCK 1,41.810949999999998,18093961.000000000000000,,0,,SALT,23.000000000000000,
7459,995148.000000000000000,3.000000000000000,,26.000000000000000,,,1612494023000,,,,E,0.000000000000000,S,-88.150499999999994,,,C,350,332654,{95829D12-C687-ACC7-8D31-9C4271E298A8},,,,,,444065.000000000000000,true,,,,,6,180.000000000000000,H61,41.908079999999998,6257773.000000000000000,,,,SALT,24.000000000000000,0
